filepath,filename,width,height,n_pixels,n_unique_colors,file_size_bytes,entropy_bits,O_rank_by_entropy
".\data\images\宜蘭縣羅東鎮_羅東夜市_Luodong_Night_Market(Luodong,Yilan)_-_panoramio.jpg","宜蘭縣羅東鎮_羅東夜市_Luodong_Night_Market(Luodong,Yilan)_-_panoramio.jpg",640,480,307200,110093,94678,14.52005778374445,150
.\data\images\Lille_euratechno_usine_face.jpg,Lille_euratechno_usine_face.jpg,640,418,267520,77559,86035,14.547248347269353,151
".\data\images\Church,_Göttweig_Abbey,_Austria,_20210729_1426_1033.jpg","Church,_Göttweig_Abbey,_Austria,_20210729_1426_1033.jpg",640,849,543360,96916,157239,14.625422900857496,152
.\data\images\Crowd_at_the_stage_of_Christopher_Street_Day_Berlin_2023-07-22_01.jpg,Crowd_at_the_stage_of_Christopher_Street_Day_Berlin_2023-07-22_01.jpg,640,428,273920,101113,99511,14.636651011365554,153
.\data\images\Crowds_on_Fuxing_Road_20120417_night.jpg,Crowds_on_Fuxing_Road_20120417_night.jpg,640,479,306560,107919,113320,14.666596392497361,154
".\data\images\Santa_Parade_Christmas_2014_-_departing_crowd_in_Market_Street,_Tenbury_Wells,_Worcs_-_geograph.org.uk_-_42966.jpg","Santa_Parade_Christmas_2014_-_departing_crowd_in_Market_Street,_Tenbury_Wells,_Worcs_-_geograph.org.uk_-_42966.jpg",640,426,272640,82320,102892,14.69786404093075,155
.\data\images\HK_WC_Wan_Chai_One_Hennessy_office_building_facade_n_PCCW_n_Duke_of_Windsor_Social_Service_Building_May_2025_R.jpg,HK_WC_Wan_Chai_One_Hennessy_office_building_facade_n_PCCW_n_Duke_of_Windsor_Social_Service_Building_May_2025_R.jpg,640,480,307200,85186,115256,14.771521874226227,156
.\data\images\Senator_Blunt_Rochester_Official_Portrait_(cropped).jpg,Senator_Blunt_Rochester_Official_Portrait_(cropped).jpg,640,828,529920,91432,153353,14.779057475201075,157
".\data\images\Sylvester_Apartment_Building,_Fayette_Street_facade.jpg","Sylvester_Apartment_Building,_Fayette_Street_facade.jpg",640,495,316800,84600,114218,14.82747894738908,158
.\data\images\Portland_Night_panorama.jpg,Portland_Night_panorama.jpg,640,129,82560,46707,31642,14.838924068977592,159
".\data\images\Panorama_of_fall_foliage_in_Greenfield,_Massachusetts.jpg","Panorama_of_fall_foliage_in_Greenfield,_Massachusetts.jpg",640,227,145280,78988,62457,14.844177887265221,160
.\data\images\Makati_City_Lights_(Jopet_Sy)_-_Flickr.jpg,Makati_City_Lights_(Jopet_Sy)_-_Flickr.jpg,640,401,256640,72449,113718,14.851115177083429,161
".\data\images\Blue_sky_and_an_occasional_cloud,_Crosh_-_geograph.org.uk_-_6138773.jpg","Blue_sky_and_an_occasional_cloud,_Crosh_-_geograph.org.uk_-_6138773.jpg",640,428,273920,96665,114344,14.912618005830147,162
.\data\images\Patterned_door_(6239425873).jpg,Patterned_door_(6239425873).jpg,640,960,614400,71651,204034,14.937244263883088,163
.\data\images\Hehuan_Lodge_under_blue_sky_with_clouds_on_2_November_2004.jpg,Hehuan_Lodge_under_blue_sky_with_clouds_on_2_November_2004.jpg,640,430,275200,84600,92540,14.941225424096697,164
.\data\images\GD_廣東_ZS_中山市_Zhongshan_東區_Dong_District_興政路_XingZheng_Road_office_building_facade_August_2024_R12S_01.jpg,GD_廣東_ZS_中山市_Zhongshan_東區_Dong_District_興政路_XingZheng_Road_office_building_facade_August_2024_R12S_01.jpg,640,480,307200,75758,131602,14.954475386072925,165
.\data\images\640px-Sossusvlei_sand_dunes.jpg,640px-Sossusvlei_sand_dunes.jpg,640,479,306560,83020,104983,15.012072173045489,166
.\data\images\Wooden_hut_fence_mountains_and_blue_sky_in_the_green_rice_fields_of_Vang_Vieng_in_Laos.jpg,Wooden_hut_fence_mountains_and_blue_sky_in_the_green_rice_fields_of_Vang_Vieng_in_Laos.jpg,640,320,204800,76442,67308,15.038854250822428,167
.\data\images\Leaning_trees_over_the_grassy_hillock_of_Nodong-ri_tombs_clouds_and_blue_sky_in_Gyeongju_South_Korea.jpg,Leaning_trees_over_the_grassy_hillock_of_Nodong-ri_tombs_clouds_and_blue_sky_in_Gyeongju_South_Korea.jpg,640,400,256000,80320,91292,15.061445948115178,168
".\data\images\20231222.Christkindlmarkt_in_Wien,_Rathausplatz.-025.jpg","20231222.Christkindlmarkt_in_Wien,_Rathausplatz.-025.jpg",640,480,307200,105172,114885,15.072059680732004,169
.\data\images\View_of_crowds_of_people_in_Borough_Market_from_Stoney_Street_-_geograph.org.uk_-_4677255.jpg,View_of_crowds_of_people_in_Borough_Market_from_Stoney_Street_-_geograph.org.uk_-_4677255.jpg,640,428,273920,81900,107895,15.082662801749901,170
.\data\images\Sand_dunes_of_Maranjab_Desert_in_Kavir_National_Park.jpg,Sand_dunes_of_Maranjab_Desert_in_Kavir_National_Park.jpg,640,495,316800,87120,68813,15.128690154180063,171
.\data\images\HK_Hung_Hom_MTR_Station_lobby_hall_interior_glass_curtain_windows_Mar-2013.JPG,HK_Hung_Hom_MTR_Station_lobby_hall_interior_glass_curtain_windows_Mar-2013.JPG,640,480,307200,87722,114026,15.148287131071442,172
.\data\images\Daxi_Old_Street_Crowd.jpg,Daxi_Old_Street_Crowd.jpg,640,425,272000,92352,113967,15.257335059875146,173
.\data\images\Autumn_foliage_2012_(8252559265).jpg,Autumn_foliage_2012_(8252559265).jpg,640,424,271360,132170,98123,15.331371456897067,174
".\data\images\Punch_and_Judy_Show,_Market_Street,_Omagh_-_geograph.org.uk_-_391643.jpg","Punch_and_Judy_Show,_Market_Street,_Omagh_-_geograph.org.uk_-_391643.jpg",640,349,223360,97926,61321,15.362411648298579,175
.\data\images\Sand_Dunes_WSA_7_-_Rock_Springs_Field_Office.jpg,Sand_Dunes_WSA_7_-_Rock_Springs_Field_Office.jpg,640,427,273280,80039,115754,15.372329999208358,176
.\data\images\Autumn-trees-leaves-foliage-sunset_-_West_Virginia_-_ForestWander.jpg,Autumn-trees-leaves-foliage-sunset_-_West_Virginia_-_ForestWander.jpg,640,427,273280,117031,156608,15.639846213157998,177
".\data\images\Serrakunda_market,_The_Gambia_(15603189793).jpg","Serrakunda_market,_The_Gambia_(15603189793).jpg",640,480,307200,132345,96002,15.71655271077555,178
.\data\images\Brick_Facade_Odense_Denmark.jpg,Brick_Facade_Odense_Denmark.jpg,640,427,273280,85456,138016,15.762041594262811,179
.\data\images\Autumn_foliage_2012_(8253623526).jpg,Autumn_foliage_2012_(8253623526).jpg,640,424,271360,124413,102872,15.764140964967504,180
.\data\images\Lille_84_rue_de_trevise_usine.jpg,Lille_84_rue_de_trevise_usine.jpg,640,427,273280,100680,145485,15.798668696369376,181
.\data\images\PEI_autumn_foliage.jpg,PEI_autumn_foliage.jpg,640,427,273280,132454,129075,15.800784354752095,182
.\data\images\2019-11-26_11_52_53_Leaves_on_a_Sugar_Maple_in_late_autumn_along_Thorngate_Drive_in_the_Franklin_Farm_section_.jpg,2019-11-26_11_52_53_Leaves_on_a_Sugar_Maple_in_late_autumn_along_Thorngate_Drive_in_the_Franklin_Farm_section_.jpg,640,480,307200,134483,183079,15.805126946823615,183
.\data\images\Autumn_foliage_2012_(8253631592).jpg,Autumn_foliage_2012_(8253631592).jpg,640,424,271360,124500,120113,15.900896549909305,184
.\data\images\Autumn_Foliage_-_Acadia_National_Park_(52471605452).jpg,Autumn_Foliage_-_Acadia_National_Park_(52471605452).jpg,640,800,512000,213366,231088,15.98823417264263,185
".\data\images\Autumn_leaves_in_Vanhakaupunki,_Helsinki,_Finland;_2024_October_–_01.jpg","Autumn_leaves_in_Vanhakaupunki,_Helsinki,_Finland;_2024_October_–_01.jpg",640,425,272000,131196,145453,15.997837705024093,186
.\data\images\Borough_Market_on_a_busy_Saturday_-_geograph.org.uk_-_1162446.jpg,Borough_Market_on_a_busy_Saturday_-_geograph.org.uk_-_1162446.jpg,640,343,219520,111506,101090,16.077091148091178,187
.\data\images\Festival_Time_in_Dali_(48418711482).jpg,Festival_Time_in_Dali_(48418711482).jpg,640,480,307200,154917,121866,16.349359137484267,188
.\data\images\The_Northern_Ghana_Blue_Skies_View.jpg,The_Northern_Ghana_Blue_Skies_View.jpg,640,421,269440,134464,94198,16.372049937086224,189
.\data\images\Autumn_foliage_2012_(8253659960).jpg,Autumn_foliage_2012_(8253659960).jpg,640,424,271360,135422,110922,16.408676468947696,190
.\data\images\India_-_Chennai_-_busy_T._Nagar_market_2_(3059483658).jpg,India_-_Chennai_-_busy_T._Nagar_market_2_(3059483658).jpg,640,480,307200,164097,132633,16.508748219877425,191
.\data\images\Autumn_foliage_2012_(8252567245).jpg,Autumn_foliage_2012_(8252567245).jpg,640,424,271360,130002,114178,16.56088840245105,192
.\data\images\Autumn_Leaves_begin_to_fall_Mt_Wilson-04_(26972121811).jpg,Autumn_Leaves_begin_to_fall_Mt_Wilson-04_(26972121811).jpg,640,427,273280,159020,185343,16.70278290315391,193
".\data\images\Autumn_Leaves_at_Blue_Mountains,_Australia.jpg","Autumn_Leaves_at_Blue_Mountains,_Australia.jpg",640,480,307200,167128,180478,16.748296433088775,194
.\data\images\2023-11-14_14_39_23_Norway_Maple_changing_color_and_shedding_leaves_in_autumn_along_Mountain_View_Road_in_the_.jpg,2023-11-14_14_39_23_Norway_Maple_changing_color_and_shedding_leaves_in_autumn_along_Mountain_View_Road_in_the_.jpg,640,853,545920,206202,347785,16.76657440262959,195
".\data\images\Autumn_at_Hondo-ji_temple,_Chiba;_November_2017_(10).jpg","Autumn_at_Hondo-ji_temple,_Chiba;_November_2017_(10).jpg",640,360,230400,145940,129222,16.81341638283137,196
.\data\images\Acer_saccharum_Equinox_Mountain_Vermont.jpg,Acer_saccharum_Equinox_Mountain_Vermont.jpg,640,500,320000,187041,216449,16.940473602143364,197
".\data\images\Autumn_leaves,_Talcott_Mountain_State_Park.jpg","Autumn_leaves,_Talcott_Mountain_State_Park.jpg",640,427,273280,168053,170621,16.991802964174642,198
.\data\images\Autumn_foliage_2012_(8252574085).jpg,Autumn_foliage_2012_(8252574085).jpg,640,966,618240,261433,305000,17.330016994338095,199
.\data\images\Autumn_foliage_2012_(8252565415).jpg,Autumn_foliage_2012_(8252565415).jpg,640,966,618240,282685,288196,17.382979867338054,200
